Model Name,Dataset,Sparsing Name,Power,Accuracy Mean,Accuracy Std,Removed %
SGC_CUSTOM,Cora,NoSparsification,None,79.40%,nan%,N/A
SGC_CUSTOM,Cora,Jaccard,,,,
SGC_CUSTOM,Cora,CommonNeighbor,,,,
SGC_CUSTOM,Cora,PreferentialAttachment,5e-05,70.40%,nan%,1.08%
SGC_CUSTOM,Cora,PreferentialAttachment,0.0002,65.80%,nan%,2.29%
SGC_CUSTOM,Cora,PreferentialAttachment,0.00059,69.80%,nan%,3.64%
SGC_CUSTOM,Cora,PreferentialAttachment,0.00067,69.50%,nan%,6.59%
SGC_CUSTOM,Cora,AdamicAdar,,,,
SGC_CUSTOM,Cora,AdjustedRand,0.02,71.50%,nan%,1.12%
SGC_CUSTOM,Cora,AdjustedRand,0.06,70.50%,nan%,2.94%
SGC_CUSTOM,Cora,AdjustedRand,0.08,67.80%,nan%,3.35%
SGC_CUSTOM,Cora,AdjustedRand,0.1,71.20%,nan%,5.57%
SGC_CUSTOM,Cora,Katz,1e-15,67.30%,nan%,1.80%
SGC_CUSTOM,Cora,Katz,0.0001,67.50%,nan%,2.61%
SGC_CUSTOM,Cora,Katz,0.00033,69.60%,nan%,6.67%
SGC_CUSTOM,Cora,LDS,1e-15,72.40%,nan%,9.21%
SGC_CUSTOM,Cora,ForestFire,,,,
SGC_CUSTOM,CiteSeer,NoSparsification,,,,
SGC_CUSTOM,CiteSeer,Jaccard,,,,
SGC_CUSTOM,CiteSeer,CommonNeighbor,,,,
SGC_CUSTOM,CiteSeer,PreferentialAttachment,,,,
SGC_CUSTOM,CiteSeer,AdamicAdar,,,,
SGC_CUSTOM,CiteSeer,AdjustedRand,,,,
SGC_CUSTOM,CiteSeer,Katz,,,,
SGC_CUSTOM,CiteSeer,LDS,,,,
SGC_CUSTOM,CiteSeer,ForestFire,,,,
SGC_CUSTOM,PubMed,NoSparsification,,,,
SGC_CUSTOM,PubMed,Jaccard,,,,
SGC_CUSTOM,PubMed,CommonNeighbor,,,,
SGC_CUSTOM,PubMed,PreferentialAttachment,,,,
SGC_CUSTOM,PubMed,AdamicAdar,,,,
SGC_CUSTOM,PubMed,AdjustedRand,,,,
SGC_CUSTOM,PubMed,Katz,,,,
SGC_CUSTOM,PubMed,LDS,,,,
SGC_CUSTOM,PubMed,ForestFire,,,,
SGC_CUSTOM,Physics,NoSparsification,,,,
SGC_CUSTOM,Physics,Jaccard,,,,
SGC_CUSTOM,Physics,CommonNeighbor,,,,
SGC_CUSTOM,Physics,PreferentialAttachment,,,,
SGC_CUSTOM,Physics,AdamicAdar,,,,
SGC_CUSTOM,Physics,AdjustedRand,,,,
SGC_CUSTOM,Physics,Katz,,,,
SGC_CUSTOM,Physics,LDS,,,,
SGC_CUSTOM,Physics,ForestFire,,,,
SGC_CUSTOM,CS,NoSparsification,,,,
SGC_CUSTOM,CS,Jaccard,,,,
SGC_CUSTOM,CS,CommonNeighbor,,,,
SGC_CUSTOM,CS,PreferentialAttachment,,,,
SGC_CUSTOM,CS,AdamicAdar,,,,
SGC_CUSTOM,CS,AdjustedRand,,,,
SGC_CUSTOM,CS,Katz,,,,
SGC_CUSTOM,CS,LDS,,,,
SGC_CUSTOM,CS,ForestFire,,,,
