Model Name,Dataset,Sparsing Name,Power,Accuracy Mean,Accuracy Std,Removed %
GCN,amazon_ratings,NoSparsification,None,51.33%,4.36%,N/A
GCN,amazon_ratings,PreferentialAttachment,1,52.10%,5.13%,1.00%
GCN,amazon_ratings,PreferentialAttachment,2,51.62%,4.74%,2.00%
GCN,amazon_ratings,PreferentialAttachment,3,50.56%,4.42%,3.00%
GCN,amazon_ratings,PreferentialAttachment,4,51.76%,5.07%,4.00%
GCN,amazon_ratings,PreferentialAttachment,5,52.19%,4.85%,5.00%
GCN,amazon_ratings,PreferentialAttachment,6,51.70%,4.89%,6.00%
GCN,amazon_ratings,PreferentialAttachment,7,51.87%,4.90%,7.00%
GCN,amazon_ratings,PreferentialAttachment,8,52.64%,5.13%,8.00%
GCN,amazon_ratings,PreferentialAttachment,9,52.34%,4.85%,9.00%
GCN,amazon_ratings,PreferentialAttachment,10,52.54%,5.72%,10.00%
GCN,amazon_ratings,AdjustedRand,1,51.07%,4.39%,1.00%
GCN,amazon_ratings,AdjustedRand,2,50.70%,4.70%,2.00%
GCN,amazon_ratings,AdjustedRand,3,51.56%,4.58%,3.00%
GCN,amazon_ratings,AdjustedRand,4,50.72%,4.75%,4.00%
GCN,amazon_ratings,AdjustedRand,5,52.24%,4.93%,5.00%
GCN,amazon_ratings,AdjustedRand,6,52.62%,4.55%,6.00%
GCN,amazon_ratings,AdjustedRand,7,52.19%,4.53%,7.00%
GCN,amazon_ratings,AdjustedRand,8,52.59%,4.66%,8.00%
GCN,amazon_ratings,AdjustedRand,9,52.70%,5.13%,9.00%
GCN,amazon_ratings,AdjustedRand,10,52.32%,5.04%,10.00%
GCN,amazon_ratings,LDS,1,51.37%,4.54%,1.00%
GCN,amazon_ratings,LDS,2,50.68%,4.66%,2.00%
GCN,amazon_ratings,LDS,3,50.98%,4.24%,3.00%
GCN,amazon_ratings,LDS,4,51.55%,4.50%,4.00%
GCN,amazon_ratings,LDS,5,51.20%,4.42%,5.00%
GCN,amazon_ratings,LDS,6,51.19%,4.66%,6.00%
GCN,amazon_ratings,LDS,7,50.40%,4.50%,7.00%
GCN,amazon_ratings,LDS,8,51.56%,5.29%,8.00%
GCN,amazon_ratings,LDS,9,51.37%,4.70%,9.00%
GCN,amazon_ratings,LDS,10,51.45%,4.47%,10.00%
GCN,amazon_ratings,LSS,1,51.83%,4.46%,1.00%
GCN,amazon_ratings,LSS,2,51.65%,4.90%,2.00%
GCN,amazon_ratings,LSS,3,51.23%,4.77%,3.00%
GCN,amazon_ratings,LSS,4,51.26%,4.54%,4.00%
GCN,amazon_ratings,LSS,5,51.04%,4.88%,5.00%
GCN,amazon_ratings,LSS,6,51.32%,4.58%,6.00%
GCN,amazon_ratings,LSS,7,51.37%,4.64%,7.00%
GCN,amazon_ratings,LSS,8,51.52%,4.88%,8.00%
GCN,amazon_ratings,LSS,9,51.20%,4.77%,9.00%
GCN,amazon_ratings,LSS,10,51.27%,4.46%,10.00%
GCN,amazon_ratings,SCAN,1,50.90%,4.47%,1.00%
GCN,amazon_ratings,SCAN,2,51.29%,4.34%,2.00%
GCN,amazon_ratings,SCAN,3,51.48%,4.38%,3.00%
GCN,amazon_ratings,SCAN,4,51.65%,4.13%,4.00%
GCN,amazon_ratings,SCAN,5,51.09%,4.90%,5.00%
GCN,amazon_ratings,SCAN,6,51.48%,4.25%,6.00%
GCN,amazon_ratings,SCAN,7,51.29%,5.22%,7.00%
GCN,amazon_ratings,SCAN,8,51.15%,4.19%,8.00%
GCN,amazon_ratings,SCAN,9,51.42%,4.85%,9.00%
GCN,amazon_ratings,SCAN,10,51.26%,4.34%,10.00%
SAGE,amazon_ratings,NoSparsification,None,66.38%,12.24%,N/A
SAGE,amazon_ratings,PreferentialAttachment,1,65.86%,11.48%,1.00%
SAGE,amazon_ratings,PreferentialAttachment,2,65.76%,12.38%,2.00%
SAGE,amazon_ratings,PreferentialAttachment,3,66.20%,11.84%,3.00%
SAGE,amazon_ratings,PreferentialAttachment,4,66.78%,12.66%,4.00%
SAGE,amazon_ratings,PreferentialAttachment,5,65.24%,12.95%,5.00%
SAGE,amazon_ratings,PreferentialAttachment,6,66.68%,13.02%,6.00%
SAGE,amazon_ratings,PreferentialAttachment,7,66.44%,12.55%,7.00%
SAGE,amazon_ratings,PreferentialAttachment,8,67.20%,13.14%,8.00%
SAGE,amazon_ratings,PreferentialAttachment,9,66.35%,12.39%,9.00%
SAGE,amazon_ratings,PreferentialAttachment,10,68.57%,12.73%,10.00%
