Model Name,Dataset,Sparsing Name,Power,Accuracy Mean,Accuracy Std,Removed %
GCN,Cora,NoSparsification,None,94.67%,3.21%,N/A
GCN,Cora,PreferentialAttachment,1,94.61%,3.44%,1.00%
GCN,Cora,PreferentialAttachment,2,94.63%,3.77%,2.01%
GCN,Cora,PreferentialAttachment,3,95.28%,3.38%,3.01%
GCN,Cora,PreferentialAttachment,4,95.07%,4.08%,4.02%
GCN,Cora,PreferentialAttachment,5,94.65%,3.69%,5.00%
GCN,Cora,PreferentialAttachment,6,94.52%,3.77%,6.01%
GCN,Cora,PreferentialAttachment,7,94.43%,3.96%,7.01%
GCN,Cora,PreferentialAttachment,8,94.83%,3.76%,8.01%
GCN,Cora,PreferentialAttachment,9,94.46%,4.09%,9.02%
GCN,Cora,PreferentialAttachment,10,94.91%,4.08%,10.00%
GCN,Cora,AdjustedRand,1,94.46%,3.49%,1.00%
GCN,Cora,AdjustedRand,2,95.22%,3.61%,2.01%
GCN,Cora,AdjustedRand,3,94.65%,4.48%,3.01%
GCN,Cora,AdjustedRand,4,94.15%,3.89%,4.02%
GCN,Cora,AdjustedRand,5,93.65%,4.22%,5.00%
GCN,Cora,AdjustedRand,6,94.45%,3.38%,6.01%
GCN,Cora,AdjustedRand,7,94.46%,3.94%,7.01%
GCN,Cora,AdjustedRand,8,94.41%,3.61%,8.01%
GCN,Cora,AdjustedRand,9,94.72%,4.09%,9.02%
GCN,Cora,AdjustedRand,10,94.30%,4.18%,10.00%
GCN,Cora,LDS,1,94.13%,4.37%,1.00%
GCN,Cora,LDS,2,94.61%,4.47%,2.01%
GCN,Cora,LDS,3,94.85%,3.50%,3.01%
GCN,Cora,LDS,4,93.93%,4.01%,4.02%
GCN,Cora,LDS,5,94.50%,4.21%,5.00%
GCN,Cora,LDS,6,93.71%,4.16%,6.01%
GCN,Cora,LDS,7,94.30%,3.63%,7.01%
GCN,Cora,LDS,8,94.69%,3.85%,8.01%
GCN,Cora,LDS,9,94.11%,4.38%,9.02%
GCN,Cora,LDS,10,94.08%,4.03%,10.00%
GCN,Cora,LSS,1,94.21%,4.45%,1.00%
GCN,Cora,LSS,2,94.98%,3.01%,2.01%
GCN,Cora,LSS,3,94.59%,3.67%,3.01%
GCN,Cora,LSS,4,95.00%,3.49%,4.02%
GCN,Cora,LSS,5,94.21%,4.32%,5.00%
GCN,Cora,LSS,6,94.15%,4.26%,6.01%
GCN,Cora,LSS,7,94.41%,3.50%,7.01%
GCN,Cora,LSS,8,93.76%,3.80%,8.01%
GCN,Cora,LSS,9,94.28%,3.68%,9.02%
GCN,Cora,LSS,10,94.11%,3.69%,10.00%
GCN,Cora,SCAN,1,94.65%,3.62%,1.00%
GCN,Cora,SCAN,2,94.98%,3.69%,2.01%
GCN,Cora,SCAN,3,94.15%,4.25%,3.01%
GCN,Cora,SCAN,4,94.02%,4.22%,4.02%
GCN,Cora,SCAN,5,94.67%,3.51%,5.00%
GCN,Cora,SCAN,6,95.24%,3.67%,6.01%
GCN,Cora,SCAN,7,94.24%,4.00%,7.01%
GCN,Cora,SCAN,8,93.63%,3.81%,8.01%
GCN,Cora,SCAN,9,94.37%,3.28%,9.02%
GCN,Cora,SCAN,10,93.75%,4.74%,10.00%
SAGE,Cora,NoSparsification,None,98.58%,3.20%,N/A
SAGE,Cora,PreferentialAttachment,1,98.03%,4.42%,1.00%
SAGE,Cora,PreferentialAttachment,2,98.15%,4.38%,2.01%
SAGE,Cora,PreferentialAttachment,3,98.27%,3.59%,3.01%
SAGE,Cora,PreferentialAttachment,4,98.38%,3.48%,4.02%
SAGE,Cora,PreferentialAttachment,5,98.19%,3.37%,5.00%
SAGE,Cora,PreferentialAttachment,6,98.27%,3.74%,6.01%
SAGE,Cora,PreferentialAttachment,7,98.47%,3.81%,7.01%
SAGE,Cora,PreferentialAttachment,8,98.27%,3.89%,8.01%
