Model Name,Dataset,Sparsing Name,Power,Accuracy Mean,Accuracy Std,Removed %
SGC_CUSTOM,Cora,NoSparsification,None,88.65%,1.25%,N/A
SGC_CUSTOM,Cora,PreferentialAttachment,1,88.58%,1.26%,1.08%
SGC_CUSTOM,Cora,PreferentialAttachment,2,88.47%,1.31%,2.29%
SGC_CUSTOM,Cora,PreferentialAttachment,3,88.41%,1.42%,3.64%
SGC_CUSTOM,Cora,PreferentialAttachment,4,88.17%,1.37%,6.59%
SGC_CUSTOM,Cora,PreferentialAttachment,5,88.17%,1.37%,6.59%
SGC_CUSTOM,Cora,PreferentialAttachment,6,88.17%,1.37%,6.59%
SGC_CUSTOM,Cora,PreferentialAttachment,7,88.12%,1.42%,7.62%
SGC_CUSTOM,Cora,PreferentialAttachment,8,87.49%,1.63%,10.55%
SGC_CUSTOM,Cora,AdamicAdar,1,84.52%,1.71%,46.12%
SGC_CUSTOM,Cora,AdamicAdar,2,84.52%,1.71%,46.12%
SGC_CUSTOM,Cora,AdamicAdar,3,84.52%,1.71%,46.12%
SGC_CUSTOM,Cora,AdamicAdar,4,84.52%,1.71%,46.12%
SGC_CUSTOM,Cora,AdamicAdar,5,84.52%,1.71%,46.12%
SGC_CUSTOM,Cora,AdamicAdar,6,84.52%,1.71%,46.12%
SGC_CUSTOM,Cora,AdamicAdar,7,84.52%,1.71%,46.12%
SGC_CUSTOM,Cora,AdamicAdar,8,84.52%,1.71%,46.12%
SGC_CUSTOM,Cora,AdjustedRand,1,88.52%,1.28%,1.12%
SGC_CUSTOM,Cora,AdjustedRand,2,88.32%,1.29%,2.07%
SGC_CUSTOM,Cora,AdjustedRand,3,88.10%,1.23%,3.01%
SGC_CUSTOM,Cora,AdjustedRand,4,87.97%,1.19%,4.02%
SGC_CUSTOM,Cora,AdjustedRand,5,87.88%,1.15%,5.02%
SGC_CUSTOM,Cora,AdjustedRand,6,87.62%,1.24%,6.18%
SGC_CUSTOM,Cora,AdjustedRand,7,87.62%,1.30%,7.20%
SGC_CUSTOM,Cora,AdjustedRand,8,87.53%,1.34%,8.13%
SGC_CUSTOM,Cora,LDS,1,87.49%,1.41%,9.21%
SGC_CUSTOM,Cora,LDS,2,87.49%,1.41%,9.21%
SGC_CUSTOM,Cora,LDS,3,87.49%,1.41%,9.21%
SGC_CUSTOM,Cora,LDS,4,87.49%,1.41%,9.21%
SGC_CUSTOM,Cora,LDS,5,87.49%,1.41%,9.21%
SGC_CUSTOM,Cora,LDS,6,87.49%,1.41%,9.21%
SGC_CUSTOM,Cora,LDS,7,87.49%,1.41%,9.21%
SGC_CUSTOM,Cora,LDS,8,87.49%,1.41%,9.21%
SGC_CUSTOM,CiteSeer,NoSparsification,None,75.71%,1.24%,N/A
SGC_CUSTOM,CiteSeer,PreferentialAttachment,1,75.35%,1.29%,5.47%
SGC_CUSTOM,CiteSeer,PreferentialAttachment,2,75.35%,1.29%,5.47%
SGC_CUSTOM,CiteSeer,PreferentialAttachment,3,75.35%,1.29%,5.47%
SGC_CUSTOM,CiteSeer,PreferentialAttachment,4,75.35%,1.29%,5.47%
SGC_CUSTOM,CiteSeer,PreferentialAttachment,5,75.35%,1.29%,5.47%
SGC_CUSTOM,CiteSeer,PreferentialAttachment,6,74.49%,1.36%,11.64%
SGC_CUSTOM,CiteSeer,PreferentialAttachment,7,74.49%,1.36%,11.64%
SGC_CUSTOM,CiteSeer,PreferentialAttachment,8,74.49%,1.36%,11.64%
SGC_CUSTOM,CiteSeer,AdamicAdar,1,72.55%,1.69%,59.18%
SGC_CUSTOM,CiteSeer,AdamicAdar,2,72.55%,1.69%,59.18%
SGC_CUSTOM,CiteSeer,AdamicAdar,3,72.55%,1.69%,59.18%
SGC_CUSTOM,CiteSeer,AdamicAdar,4,72.55%,1.69%,59.18%
SGC_CUSTOM,CiteSeer,AdamicAdar,5,72.55%,1.69%,59.18%
SGC_CUSTOM,CiteSeer,AdamicAdar,6,72.55%,1.69%,59.18%
SGC_CUSTOM,CiteSeer,AdamicAdar,7,72.55%,1.69%,59.18%
SGC_CUSTOM,CiteSeer,AdamicAdar,8,72.55%,1.69%,59.18%
SGC_CUSTOM,CiteSeer,AdjustedRand,1,75.78%,1.34%,1.08%
SGC_CUSTOM,CiteSeer,AdjustedRand,2,75.66%,1.30%,2.02%
SGC_CUSTOM,CiteSeer,AdjustedRand,3,75.62%,1.38%,3.05%
SGC_CUSTOM,CiteSeer,AdjustedRand,4,75.54%,1.26%,4.11%
SGC_CUSTOM,CiteSeer,AdjustedRand,5,75.44%,1.34%,5.23%
SGC_CUSTOM,CiteSeer,AdjustedRand,6,75.62%,1.28%,6.44%
SGC_CUSTOM,CiteSeer,AdjustedRand,7,75.44%,1.43%,7.12%
SGC_CUSTOM,CiteSeer,AdjustedRand,8,75.53%,1.40%,8.96%
SGC_CUSTOM,CiteSeer,LDS,1,75.32%,1.31%,7.29%
SGC_CUSTOM,CiteSeer,LDS,2,75.32%,1.31%,7.29%
SGC_CUSTOM,CiteSeer,LDS,3,75.32%,1.31%,7.29%
SGC_CUSTOM,CiteSeer,LDS,4,75.32%,1.31%,7.29%
SGC_CUSTOM,CiteSeer,LDS,5,75.32%,1.31%,7.29%
SGC_CUSTOM,CiteSeer,LDS,6,75.32%,1.31%,7.29%
SGC_CUSTOM,CiteSeer,LDS,7,75.32%,1.31%,7.29%
SGC_CUSTOM,CiteSeer,LDS,8,75.29%,1.30%,8.08%
SGC_CUSTOM,PubMed,NoSparsification,None,85.45%,0.58%,N/A
SGC_CUSTOM,PubMed,PreferentialAttachment,1,85.34%,0.57%,1.13%
SGC_CUSTOM,PubMed,PreferentialAttachment,2,85.33%,0.60%,2.68%
SGC_CUSTOM,PubMed,PreferentialAttachment,3,85.27%,0.62%,3.49%
SGC_CUSTOM,PubMed,PreferentialAttachment,4,85.30%,0.68%,4.49%
SGC_CUSTOM,PubMed,PreferentialAttachment,5,85.33%,0.61%,5.49%
SGC_CUSTOM,PubMed,PreferentialAttachment,6,85.34%,0.58%,6.80%
SGC_CUSTOM,PubMed,PreferentialAttachment,7,85.42%,0.56%,7.72%
SGC_CUSTOM,PubMed,PreferentialAttachment,8,85.43%,0.57%,9.46%
SGC_CUSTOM,PubMed,AdamicAdar,1,85.83%,0.50%,65.75%
SGC_CUSTOM,PubMed,AdamicAdar,2,85.83%,0.50%,65.75%
SGC_CUSTOM,PubMed,AdamicAdar,3,85.83%,0.50%,65.75%
SGC_CUSTOM,PubMed,AdamicAdar,4,85.83%,0.50%,65.75%
SGC_CUSTOM,PubMed,AdamicAdar,5,85.83%,0.50%,65.75%
SGC_CUSTOM,PubMed,AdamicAdar,6,85.83%,0.50%,65.75%
SGC_CUSTOM,PubMed,AdamicAdar,7,85.83%,0.50%,65.75%
SGC_CUSTOM,PubMed,AdamicAdar,8,85.83%,0.50%,65.75%
SGC_CUSTOM,PubMed,AdjustedRand,1,85.42%,0.58%,1.00%
SGC_CUSTOM,PubMed,AdjustedRand,2,85.44%,0.56%,2.04%
SGC_CUSTOM,PubMed,AdjustedRand,3,85.47%,0.55%,3.11%
SGC_CUSTOM,PubMed,AdjustedRand,4,85.56%,0.57%,4.05%
SGC_CUSTOM,PubMed,AdjustedRand,5,85.55%,0.57%,5.00%
SGC_CUSTOM,PubMed,AdjustedRand,6,85.49%,0.53%,6.22%
SGC_CUSTOM,PubMed,AdjustedRand,7,85.46%,0.56%,7.14%
SGC_CUSTOM,PubMed,AdjustedRand,8,85.52%,0.57%,8.32%
SGC_CUSTOM,PubMed,LDS,1,85.38%,0.55%,1.40%
SGC_CUSTOM,PubMed,LDS,2,85.35%,0.55%,2.01%
SGC_CUSTOM,PubMed,LDS,3,85.42%,0.55%,3.01%
SGC_CUSTOM,PubMed,LDS,4,85.35%,0.56%,4.14%
SGC_CUSTOM,PubMed,LDS,5,85.38%,0.57%,5.04%
SGC_CUSTOM,PubMed,LDS,6,85.34%,0.63%,6.06%
SGC_CUSTOM,PubMed,LDS,7,85.36%,0.57%,7.19%
SGC_CUSTOM,PubMed,LDS,8,85.33%,0.56%,8.01%
SGC_CUSTOM,DE,NoSparsification,None,68.24%,1.56%,N/A
SGC_CUSTOM,DE,PreferentialAttachment,1,68.31%,1.38%,1.02%
SGC_CUSTOM,DE,PreferentialAttachment,2,68.32%,1.42%,2.02%
SGC_CUSTOM,DE,PreferentialAttachment,3,68.27%,1.25%,3.01%
SGC_CUSTOM,DE,PreferentialAttachment,4,68.35%,1.25%,4.03%
SGC_CUSTOM,DE,PreferentialAttachment,5,68.31%,1.18%,5.01%
SGC_CUSTOM,DE,PreferentialAttachment,6,68.18%,1.28%,6.05%
SGC_CUSTOM,DE,PreferentialAttachment,7,68.40%,1.29%,7.00%
SGC_CUSTOM,DE,PreferentialAttachment,8,68.32%,1.10%,8.07%
SGC_CUSTOM,DE,AdamicAdar,1,68.11%,1.44%,9.14%
SGC_CUSTOM,DE,AdamicAdar,2,68.11%,1.44%,9.14%
SGC_CUSTOM,DE,AdamicAdar,3,68.11%,1.44%,9.14%
SGC_CUSTOM,DE,AdamicAdar,4,68.11%,1.44%,9.14%
SGC_CUSTOM,DE,AdamicAdar,5,68.11%,1.44%,9.14%
SGC_CUSTOM,DE,AdamicAdar,6,68.11%,1.44%,9.14%
SGC_CUSTOM,DE,AdamicAdar,7,68.11%,1.44%,9.14%
SGC_CUSTOM,DE,AdamicAdar,8,68.11%,1.44%,9.14%
SGC_CUSTOM,DE,AdjustedRand,1,68.22%,1.38%,1.00%
SGC_CUSTOM,DE,AdjustedRand,2,68.09%,1.38%,2.00%
SGC_CUSTOM,DE,AdjustedRand,3,68.14%,1.39%,3.00%
SGC_CUSTOM,DE,AdjustedRand,4,68.05%,1.37%,4.00%
SGC_CUSTOM,DE,AdjustedRand,5,68.08%,1.24%,5.00%
SGC_CUSTOM,DE,AdjustedRand,6,68.05%,1.32%,6.01%
SGC_CUSTOM,DE,AdjustedRand,7,67.99%,1.40%,7.00%
SGC_CUSTOM,DE,AdjustedRand,8,68.10%,1.44%,8.00%
SGC_CUSTOM,DE,LDS,1,68.31%,1.55%,1.05%
SGC_CUSTOM,DE,LDS,2,68.28%,1.49%,2.02%
SGC_CUSTOM,DE,LDS,3,68.24%,1.44%,3.00%
SGC_CUSTOM,DE,LDS,4,68.18%,1.43%,4.00%
SGC_CUSTOM,DE,LDS,5,68.25%,1.45%,5.14%
SGC_CUSTOM,DE,LDS,6,68.24%,1.44%,6.01%
SGC_CUSTOM,DE,LDS,7,68.36%,1.36%,7.01%
SGC_CUSTOM,DE,LDS,8,68.24%,1.45%,8.04%
SGC_CUSTOM,PT,NoSparsification,None,69.11%,1.81%,N/A
SGC_CUSTOM,PT,PreferentialAttachment,1,69.24%,1.67%,1.01%
SGC_CUSTOM,PT,PreferentialAttachment,2,69.22%,1.69%,2.01%
SGC_CUSTOM,PT,PreferentialAttachment,3,68.93%,1.82%,3.03%
SGC_CUSTOM,PT,PreferentialAttachment,4,69.14%,1.98%,4.01%
SGC_CUSTOM,PT,PreferentialAttachment,5,69.01%,1.82%,5.01%
SGC_CUSTOM,PT,PreferentialAttachment,6,68.83%,2.02%,6.00%
SGC_CUSTOM,PT,PreferentialAttachment,7,68.80%,2.36%,7.00%
SGC_CUSTOM,PT,PreferentialAttachment,8,69.16%,2.11%,8.02%
SGC_CUSTOM,PT,AdamicAdar,1,69.11%,2.04%,3.80%
SGC_CUSTOM,PT,AdamicAdar,2,69.11%,2.04%,3.80%
SGC_CUSTOM,PT,AdamicAdar,3,69.11%,2.04%,3.80%
SGC_CUSTOM,PT,AdamicAdar,4,69.11%,2.13%,4.11%
SGC_CUSTOM,PT,AdamicAdar,5,69.14%,1.93%,5.02%
SGC_CUSTOM,PT,AdamicAdar,6,69.11%,2.00%,6.00%
SGC_CUSTOM,PT,AdamicAdar,7,69.14%,1.98%,7.00%
SGC_CUSTOM,PT,AdamicAdar,8,68.96%,1.91%,8.00%
SGC_CUSTOM,PT,AdjustedRand,1,69.09%,1.68%,1.00%
SGC_CUSTOM,PT,AdjustedRand,2,69.14%,1.74%,2.00%
SGC_CUSTOM,PT,AdjustedRand,3,69.14%,1.65%,3.01%
SGC_CUSTOM,PT,AdjustedRand,4,69.24%,1.58%,4.01%
SGC_CUSTOM,PT,AdjustedRand,5,69.35%,1.51%,5.00%
SGC_CUSTOM,PT,AdjustedRand,6,69.16%,1.67%,6.00%
SGC_CUSTOM,PT,AdjustedRand,7,69.27%,1.55%,7.00%
SGC_CUSTOM,PT,AdjustedRand,8,69.45%,1.62%,8.00%
SGC_CUSTOM,PT,LDS,1,69.16%,1.77%,1.00%
SGC_CUSTOM,PT,LDS,2,68.96%,1.86%,2.00%
SGC_CUSTOM,PT,LDS,3,68.98%,1.77%,3.12%
SGC_CUSTOM,PT,LDS,4,68.80%,1.82%,4.02%
SGC_CUSTOM,PT,LDS,5,69.11%,1.77%,5.08%
SGC_CUSTOM,PT,LDS,6,69.03%,1.62%,6.01%
SGC_CUSTOM,PT,LDS,7,68.98%,2.12%,7.00%
SGC_CUSTOM,PT,LDS,8,69.27%,2.00%,8.08%
SGC_CUSTOM,ES,NoSparsification,None,72.43%,1.45%,N/A
SGC_CUSTOM,ES,PreferentialAttachment,1,72.23%,1.45%,1.02%
SGC_CUSTOM,ES,PreferentialAttachment,2,72.45%,1.49%,2.00%
SGC_CUSTOM,ES,PreferentialAttachment,3,72.55%,1.50%,3.02%
SGC_CUSTOM,ES,PreferentialAttachment,4,72.52%,1.49%,4.00%
SGC_CUSTOM,ES,PreferentialAttachment,5,72.39%,1.45%,5.02%
SGC_CUSTOM,ES,PreferentialAttachment,6,72.51%,1.55%,6.02%
SGC_CUSTOM,ES,PreferentialAttachment,7,72.51%,1.58%,7.03%
SGC_CUSTOM,ES,PreferentialAttachment,8,72.47%,1.63%,8.07%
SGC_CUSTOM,ES,AdamicAdar,1,72.30%,1.81%,9.75%
SGC_CUSTOM,ES,AdamicAdar,2,72.30%,1.81%,9.75%
SGC_CUSTOM,ES,AdamicAdar,3,72.30%,1.81%,9.75%
SGC_CUSTOM,ES,AdamicAdar,4,72.30%,1.81%,9.75%
SGC_CUSTOM,ES,AdamicAdar,5,72.30%,1.81%,9.75%
SGC_CUSTOM,ES,AdamicAdar,6,72.30%,1.81%,9.75%
SGC_CUSTOM,ES,AdamicAdar,7,72.30%,1.81%,9.75%
SGC_CUSTOM,ES,AdamicAdar,8,72.30%,1.81%,9.75%
SGC_CUSTOM,ES,AdjustedRand,1,72.51%,1.42%,1.01%
SGC_CUSTOM,ES,AdjustedRand,2,72.37%,1.49%,2.00%
SGC_CUSTOM,ES,AdjustedRand,3,72.28%,1.49%,3.00%
SGC_CUSTOM,ES,AdjustedRand,4,72.38%,1.33%,4.00%
SGC_CUSTOM,ES,AdjustedRand,5,72.41%,1.37%,5.00%
SGC_CUSTOM,ES,AdjustedRand,6,72.34%,1.39%,6.00%
SGC_CUSTOM,ES,AdjustedRand,7,72.15%,1.37%,7.00%
SGC_CUSTOM,ES,AdjustedRand,8,72.37%,1.43%,8.00%
SGC_CUSTOM,ES,LDS,1,72.31%,1.56%,1.39%
SGC_CUSTOM,ES,LDS,2,72.27%,1.51%,2.02%
SGC_CUSTOM,ES,LDS,3,72.26%,1.53%,3.04%
SGC_CUSTOM,ES,LDS,4,72.35%,1.52%,4.09%
SGC_CUSTOM,ES,LDS,5,72.26%,1.62%,5.07%
SGC_CUSTOM,ES,LDS,6,72.24%,1.56%,6.01%
SGC_CUSTOM,ES,LDS,7,72.20%,1.49%,7.00%
