Model Name,Dataset,Sparsing Name,Power,Accuracy Mean,Accuracy Std,Removed %
GCN,Cora,NoSparsification,None,94.76%,3.30%,N/A
GCN,Cora,PreferentialAttachment,1,94.10%,3.70%,1.00%
GCN,Cora,PreferentialAttachment,2,94.06%,3.37%,2.01%
GCN,Cora,PreferentialAttachment,3,94.15%,3.35%,3.01%
GCN,Cora,PreferentialAttachment,4,93.73%,3.50%,4.02%
GCN,Cora,PreferentialAttachment,5,93.51%,4.19%,5.00%
GCN,Cora,PreferentialAttachment,6,93.58%,3.50%,6.01%
GCN,Cora,PreferentialAttachment,7,93.39%,4.25%,7.01%
GCN,Cora,PreferentialAttachment,8,93.62%,3.63%,8.01%
GCN,Cora,PreferentialAttachment,9,93.86%,4.36%,9.02%
GCN,Cora,PreferentialAttachment,10,93.78%,3.55%,10.00%
GCN,Cora,AdjustedRand,1,93.56%,3.70%,1.00%
GCN,Cora,AdjustedRand,2,93.41%,3.57%,2.01%
GCN,Cora,AdjustedRand,3,94.08%,3.58%,3.01%
GCN,Cora,AdjustedRand,4,94.30%,3.29%,4.02%
GCN,Cora,AdjustedRand,5,93.78%,3.67%,5.00%
GCN,Cora,AdjustedRand,6,94.02%,3.40%,6.01%
GCN,Cora,AdjustedRand,7,93.73%,4.64%,7.01%
GCN,Cora,AdjustedRand,8,93.62%,4.05%,8.01%
GCN,Cora,AdjustedRand,9,93.15%,4.18%,9.02%
GCN,Cora,AdjustedRand,10,93.78%,4.13%,10.00%
GCN,Cora,LDS,1,93.86%,4.31%,1.00%
GCN,Cora,LDS,2,94.39%,3.61%,2.01%
GCN,Cora,LDS,3,93.67%,3.59%,3.01%
GCN,Cora,LDS,4,93.97%,3.22%,4.02%
GCN,Cora,LDS,5,93.89%,3.84%,5.00%
GCN,Cora,LDS,6,94.04%,3.56%,6.01%
GCN,Cora,LDS,7,94.10%,3.79%,7.01%
GCN,Cora,LDS,8,93.54%,4.11%,8.01%
GCN,Cora,LDS,9,93.60%,3.95%,9.02%
GCN,Cora,LDS,10,92.93%,4.03%,10.00%
GCN,Cora,LSS,1,93.75%,3.54%,1.00%
GCN,Cora,LSS,2,93.73%,3.57%,2.01%
GCN,Cora,LSS,3,93.86%,3.33%,3.01%
GCN,Cora,LSS,4,93.65%,3.61%,4.02%
GCN,Cora,LSS,5,93.87%,4.26%,5.00%
GCN,Cora,LSS,6,93.52%,3.28%,6.01%
GCN,Cora,LSS,7,93.65%,3.94%,7.01%
GCN,Cora,LSS,8,93.45%,4.02%,8.01%
GCN,Cora,LSS,9,93.17%,3.30%,9.02%
GCN,Cora,LSS,10,93.56%,3.22%,10.00%
GCN,Cora,SCAN,1,93.87%,4.30%,1.00%
GCN,Cora,SCAN,2,94.23%,3.96%,2.01%
GCN,Cora,SCAN,3,94.11%,4.13%,3.01%
GCN,Cora,SCAN,4,93.84%,3.39%,4.02%
GCN,Cora,SCAN,5,93.43%,4.37%,5.00%
GCN,Cora,SCAN,6,93.63%,3.86%,6.01%
GCN,Cora,SCAN,7,93.32%,4.13%,7.01%
GCN,Cora,SCAN,8,93.10%,3.96%,8.01%
GCN,Cora,SCAN,9,93.80%,3.56%,9.02%
GCN,Cora,SCAN,10,93.25%,3.64%,10.00%
SAGE,Cora,NoSparsification,None,94.08%,4.50%,N/A
SAGE,Cora,PreferentialAttachment,1,92.86%,3.67%,1.00%
SAGE,Cora,PreferentialAttachment,2,93.52%,4.49%,2.01%
SAGE,Cora,PreferentialAttachment,3,93.14%,4.51%,3.01%
SAGE,Cora,PreferentialAttachment,4,94.32%,4.37%,4.02%
SAGE,Cora,PreferentialAttachment,5,93.12%,3.58%,5.00%
SAGE,Cora,PreferentialAttachment,6,93.60%,4.41%,6.01%
SAGE,Cora,PreferentialAttachment,7,93.19%,3.92%,7.01%
SAGE,Cora,PreferentialAttachment,8,93.28%,3.53%,8.01%
SAGE,Cora,PreferentialAttachment,9,94.28%,3.95%,9.02%
SAGE,Cora,PreferentialAttachment,10,93.75%,3.77%,10.00%
SAGE,Cora,AdjustedRand,1,93.06%,3.27%,1.00%
SAGE,Cora,AdjustedRand,2,94.02%,3.13%,2.01%
SAGE,Cora,AdjustedRand,3,93.47%,3.50%,3.01%
SAGE,Cora,AdjustedRand,4,93.25%,3.91%,4.02%
SAGE,Cora,AdjustedRand,5,93.75%,4.08%,5.00%
SAGE,Cora,AdjustedRand,6,92.95%,4.68%,6.01%
SAGE,Cora,AdjustedRand,7,93.73%,4.20%,7.01%
SAGE,Cora,AdjustedRand,8,93.87%,3.77%,8.01%
SAGE,Cora,AdjustedRand,9,93.80%,3.60%,9.02%
