Model Name,Dataset,Sparsing Name,Power,Accuracy Mean,Accuracy Std,Removed %
GCN,cornell,NoSparsification,None,78.65%,18.79%,N/A
GCN,cornell,LDS,1,80.54%,19.40%,9.06%
GCN,cornell,LDS,2,80.27%,15.18%,10.07%
GCN,cornell,LDS,3,81.62%,13.77%,11.07%
GCN,cornell,LDS,4,78.92%,16.36%,11.74%
GCN,cornell,LDS,5,71.08%,20.94%,12.75%
GCN,cornell,LDS,6,77.57%,14.64%,13.76%
GCN,cornell,LDS,7,75.14%,18.50%,14.77%
GCN,cornell,LDS,8,82.16%,14.76%,15.44%
GCN,cornell,LDS,9,80.00%,14.54%,16.44%
GCN,cornell,LDS,10,77.03%,19.29%,17.45%
GCN,cornell,LSS,1,79.46%,15.92%,2.01%
GCN,cornell,LSS,2,79.46%,15.56%,3.02%
GCN,cornell,LSS,3,76.22%,16.31%,4.03%
GCN,cornell,LSS,4,77.84%,17.08%,5.03%
GCN,cornell,LSS,5,74.59%,17.15%,6.04%
GCN,cornell,LSS,6,77.30%,16.62%,7.05%
GCN,cornell,LSS,7,74.86%,19.37%,8.05%
GCN,cornell,LSS,8,76.49%,14.86%,9.06%
GCN,cornell,LSS,9,75.95%,16.54%,10.07%
GCN,cornell,LSS,10,81.62%,14.18%,11.07%
GCN,cornell,SCAN,1,77.30%,14.43%,2.01%
GCN,cornell,SCAN,2,74.32%,15.62%,3.02%
GCN,cornell,SCAN,3,74.86%,16.81%,4.03%
GCN,cornell,SCAN,4,72.70%,14.44%,5.03%
GCN,cornell,SCAN,5,72.70%,18.26%,6.04%
GCN,cornell,SCAN,6,75.95%,14.83%,7.05%
GCN,cornell,SCAN,7,74.32%,17.53%,8.05%
GCN,cornell,SCAN,8,75.14%,17.04%,9.06%
GCN,cornell,SCAN,9,72.70%,16.44%,10.07%
GCN,cornell,SCAN,10,72.16%,20.51%,11.07%
SAGE,cornell,NoSparsification,None,96.49%,11.11%,N/A
SAGE,cornell,LDS,1,94.32%,11.21%,9.06%
SAGE,cornell,LDS,2,97.57%,5.90%,10.07%
SAGE,cornell,LDS,3,96.22%,6.88%,11.07%
SAGE,cornell,LDS,4,95.41%,7.86%,11.74%
SAGE,cornell,LDS,5,95.41%,9.28%,12.75%
SAGE,cornell,LDS,6,96.22%,9.47%,13.76%
SAGE,cornell,LDS,7,97.30%,5.84%,14.77%
SAGE,cornell,LDS,8,94.59%,15.24%,15.44%
SAGE,cornell,LDS,9,96.49%,6.87%,16.44%
SAGE,cornell,LDS,10,95.68%,9.38%,17.45%
SAGE,cornell,LSS,1,95.68%,8.66%,2.01%
SAGE,cornell,LSS,2,95.41%,9.45%,3.02%
SAGE,cornell,LSS,3,96.49%,6.63%,4.03%
SAGE,cornell,LSS,4,96.22%,7.98%,5.03%
SAGE,cornell,LSS,5,95.95%,10.29%,6.04%
SAGE,cornell,LSS,6,95.68%,8.47%,7.05%
SAGE,cornell,LSS,7,96.22%,8.37%,8.05%
SAGE,cornell,LSS,8,96.76%,8.53%,9.06%
SAGE,cornell,LSS,9,95.95%,8.76%,10.07%
SAGE,cornell,LSS,10,96.49%,10.20%,11.07%
SAGE,cornell,SCAN,1,95.68%,9.89%,2.01%
SAGE,cornell,SCAN,2,97.30%,7.64%,3.02%
SAGE,cornell,SCAN,3,96.22%,9.29%,4.03%
SAGE,cornell,SCAN,4,96.22%,9.29%,5.03%
SAGE,cornell,SCAN,5,94.86%,10.23%,6.04%
SAGE,cornell,SCAN,6,94.59%,9.87%,7.05%
SAGE,cornell,SCAN,7,94.59%,10.74%,8.05%
SAGE,cornell,SCAN,8,94.32%,9.91%,9.06%
SAGE,cornell,SCAN,9,94.86%,10.15%,10.07%
SAGE,cornell,SCAN,10,95.95%,9.30%,11.07%
GAT,cornell,NoSparsification,None,71.08%,12.42%,N/A
GAT,cornell,LDS,1,77.84%,15.38%,9.06%
GAT,cornell,LDS,2,81.08%,13.84%,10.07%
GAT,cornell,LDS,3,79.73%,12.82%,11.07%
GAT,cornell,LDS,4,76.22%,13.77%,11.74%
GAT,cornell,LDS,5,74.86%,17.00%,12.75%
GAT,cornell,LDS,6,78.38%,11.75%,13.76%
GAT,cornell,LDS,7,71.35%,16.38%,14.77%
GAT,cornell,LDS,8,76.22%,13.95%,15.44%
GAT,cornell,LDS,9,79.46%,11.05%,16.44%
GAT,cornell,LDS,10,81.08%,12.80%,17.45%
GAT,cornell,LSS,1,73.78%,10.66%,2.01%
GAT,cornell,LSS,2,77.57%,13.37%,3.02%
GAT,cornell,LSS,3,79.19%,11.75%,4.03%
GAT,cornell,LSS,4,73.51%,11.80%,5.03%
GAT,cornell,LSS,5,77.84%,16.80%,6.04%
GAT,cornell,LSS,6,78.65%,12.25%,7.05%
GAT,cornell,LSS,7,78.65%,12.25%,8.05%
GAT,cornell,LSS,8,70.00%,7.26%,9.06%
GAT,cornell,LSS,9,78.38%,15.91%,10.07%
GAT,cornell,LSS,10,77.57%,16.90%,11.07%
GAT,cornell,SCAN,1,73.51%,13.53%,2.01%
GAT,cornell,SCAN,2,77.84%,11.80%,3.02%
GAT,cornell,SCAN,3,72.16%,10.74%,4.03%
GAT,cornell,SCAN,4,75.41%,13.92%,5.03%
GAT,cornell,SCAN,5,77.84%,13.83%,6.04%
GAT,cornell,SCAN,6,80.00%,14.43%,7.05%
GAT,cornell,SCAN,7,80.27%,11.33%,8.05%
GAT,cornell,SCAN,8,79.46%,10.37%,9.06%
GAT,cornell,SCAN,9,72.16%,14.47%,10.07%
GAT,cornell,SCAN,10,72.43%,7.94%,11.07%
GCN,chameleon,NoSparsification,None,67.52%,20.70%,N/A
