Model Name,Dataset,Sparsing Name,Power,Accuracy Mean,Accuracy Std
SGC_CUSTOM,Cora,NoSparsification,,0.5,
SGC_CUSTOM,Cora,Jaccard,,,
SGC_CUSTOM,Cora,CommonNeighbor,,,
SGC_CUSTOM,Cora,PreferentialAttachment,5e-05,0.5,
SGC_CUSTOM,Cora,PreferentialAttachment,0.0002,0.5,
SGC_CUSTOM,Cora,PreferentialAttachment,0.0005882352941176471,0.5,
SGC_CUSTOM,Cora,PreferentialAttachment,0.0006666666666666666,0.5,
SGC_CUSTOM,Cora,AdamicAdar,,,
SGC_CUSTOM,Cora,AdjustedRand,0.02,0.5,
SGC_CUSTOM,Cora,AdjustedRand,0.06,0.5,
SGC_CUSTOM,Cora,AdjustedRand,0.08,0.5,
SGC_CUSTOM,Cora,AdjustedRand,0.105,0.5,
SGC_CUSTOM,Cora,Katz,1e-15,0.5,
SGC_CUSTOM,Cora,Katz,0.0001,0.5,
SGC_CUSTOM,Cora,Katz,0.0003333333333333333,0.5,
SGC_CUSTOM,Cora,LDS,1e-15,0.5,
SGC_CUSTOM,Cora,ForestFire,,,
SGC_CUSTOM,CiteSeer,NoSparsification,,,
SGC_CUSTOM,CiteSeer,Jaccard,,,
SGC_CUSTOM,CiteSeer,CommonNeighbor,,,
SGC_CUSTOM,CiteSeer,PreferentialAttachment,,,
SGC_CUSTOM,CiteSeer,AdamicAdar,,,
SGC_CUSTOM,CiteSeer,AdjustedRand,,,
SGC_CUSTOM,CiteSeer,Katz,,,
SGC_CUSTOM,CiteSeer,LDS,,,
SGC_CUSTOM,CiteSeer,ForestFire,,,
SGC_CUSTOM,PubMed,NoSparsification,,,
SGC_CUSTOM,PubMed,Jaccard,,,
SGC_CUSTOM,PubMed,CommonNeighbor,,,
SGC_CUSTOM,PubMed,PreferentialAttachment,,,
SGC_CUSTOM,PubMed,AdamicAdar,,,
SGC_CUSTOM,PubMed,AdjustedRand,,,
SGC_CUSTOM,PubMed,Katz,,,
SGC_CUSTOM,PubMed,LDS,,,
SGC_CUSTOM,PubMed,ForestFire,,,
SGC_CUSTOM,Physics,NoSparsification,,,
SGC_CUSTOM,Physics,Jaccard,,,
SGC_CUSTOM,Physics,CommonNeighbor,,,
SGC_CUSTOM,Physics,PreferentialAttachment,,,
SGC_CUSTOM,Physics,AdamicAdar,,,
SGC_CUSTOM,Physics,AdjustedRand,,,
SGC_CUSTOM,Physics,Katz,,,
SGC_CUSTOM,Physics,LDS,,,
SGC_CUSTOM,Physics,ForestFire,,,
SGC_CUSTOM,CS,NoSparsification,,,
SGC_CUSTOM,CS,Jaccard,,,
SGC_CUSTOM,CS,CommonNeighbor,,,
SGC_CUSTOM,CS,PreferentialAttachment,,,
SGC_CUSTOM,CS,AdamicAdar,,,
SGC_CUSTOM,CS,AdjustedRand,,,
SGC_CUSTOM,CS,Katz,,,
SGC_CUSTOM,CS,LDS,,,
SGC_CUSTOM,CS,ForestFire,,,
